nom groupe ssgroupe Energie EnergiePredite Eau Proteines Glucides Lipides Sucres Fibres Polyols Alcool AcidesOrganiques Calcium Cuivre Fer Magnesium Manganese Phosphore Potassium Zinc VitamineC
"Chicorée rouge, crue" légumes "légumes crus" NA 18.67315244161152 94 1.4 1.6 0.1 1.6 3 NA 0 NA 36 NA 0.3 NA NA 30 180 0.2 10
"Chicorée verte, crue" légumes "légumes crus" NA 20.629509369612286 91.2 1.9 0.5 0.5 0.5 1 NA 0 NA 82.5 0.06 4.15 17 0.3 45 498 0.32 46
"Citrouille, pulpe, crue" légumes "légumes crus" NA 33.82394092841109 91.6 1 6 0.1 2.76 0.5 NA 0 NA 21 0.13 0.8 12 0.13 44 340 0.32 9
"Chou chinois ou pak-choi ou pé-tsai, cru" légumes "légumes crus" NA 19.711734675592105 95.2 1.38 1.65 0.2 1.18 1.05 NA 0 NA 86.4 0.021 0.68 17.5 0.17 37.8 249 0.17 40.3
"Poivron jaune, cru" légumes "légumes crus" 30.7 30.470580379034857 91.9 0.94 4.73 0.3 4.3 1.2 NA 0 1.1 8.6 0.07 0.21 12 0.11 23 220 0.23 121
"Laitue romaine, crue" légumes "légumes crus" NA 18.212360195327758 94.6 1.24 1.2 0.3 1.19 2.1 NA 0 NA 33 0.048 0.97 14 0.16 30 247 0.23 14
"Pois mange-tout ou pois gourmand, cru" légumes "légumes crus" NA 46.46659340838499 88.3 3.08 6.2 0.27 4 2.63 NA 0 NA 40.7 0.079 2.08 24 0.24 56.8 200 0.27 60
"Panais, cru" légumes "légumes crus" 58.3 55.27267462323299 80.6 1.54 10.1 0.4 4.8 4.7 0.81 0 NA 45.5 0.13 0.7 29.5 0.48 82.5 505 0.72 11.5
"Bambou, pousse, crue" légumes "légumes crus" 35.1 38.68506241499812 89.8 2.52 5.08 0.2 3 1.45 0 0 0 15.5 0.19 0.4 3 0.26 54.5 517 1.1 7.5
"Cresson alénois, cru" légumes "légumes crus" NA 31.395138035329378 91.1 2.55 2.2 0.6 2.2 1.35 NA 0 NA 75.5 0.13 1.8 41 0.55 76 368 0.35 52
"Laitue iceberg, crue" légumes "légumes crus" NA 20.81128539143656 95.6 1.01 2.45 0.18 1.48 1.15 NA 0 NA 17.4 0.029 0.43 8.73 0.19 23.6 179 0.21 4.72
"Rutabaga, cru" légumes "légumes crus" NA 33.77788090338141 89.5 1.17 5.7 0.13 4.46 2.6 NA 0 NA 45.2 0.031 0.35 17 0.14 47.8 349 0.21 33
"Haricot beurre, surgelé, cru" légumes "légumes crus" NA 35.13628938958556 89.9 2 4.9 0.17 2.5 2.33 NA 0 NA 51 0.049 0.78 22 0.39 32 186 0.26 16
"Brocoli, surgelé, cru" légumes "légumes crus" NA 28.580138180666502 91.5 2.79 1.56 0.44 1.24 2.77 NA 0 NA 48.5 0.036 0.77 17 0.26 54.5 231 0.41 62.3
"Chou de Bruxelles, surgelé, cru" légumes "légumes crus" NA 42.14275786171499 86.3 3.43 4.5 0.33 2.35 4.28 NA 0 NA 34 0.043 0.82 22 0.29 65.5 427 0.37 77.5
"Carotte, surgelée, crue" légumes "légumes crus" NA 29.67027057705429 90.9 0.63 4.99 0.27 4.73 2.76 NA 0 NA 34.9 0.074 0.41 12 0.17 33 235 0.33 4.32
"Petits pois et carottes, surgelés, crus" légumes "légumes crus" NA 54.908096530961046 82.3 3.89 7.1 0.37 3.43 4.3 NA 0 NA 29.5 0.089 1.2 18 0.24 60 194 0.52 13.6
"Roquette, crue" légumes "légumes crus" NA 31.719553574941443 91.7 2.58 2.1 0.66 2.05 1.6 NA 0 NA 160 0.076 1.46 47 0.32 52 369 0.47 15
"Chou frisé, cru" légumes "légumes crus" NA 52.391064524884136 82.8 4.33 4.2 1.07 2.26 4.9 NA 0 NA 185 0.8 1.74 33.5 0.58 83 378 0.59 145
"Champignon de Paris ou champignon de couche, surgelé, cru" légumes "légumes crus" 15.9 19.063821474880807 93.2 1.8 0.83 0.25 0.25 1.97 0.5 0 NA 10 NA 0.8 NA NA NA NA NA 4
"Courgette, pulpe et peau, surgelée, crue" légumes "légumes crus" NA 20.271454840491746 94.6 1.19 2.18 0.14 1.56 1.48 NA 0 NA 20 0.05 0.64 13 0.24 28 218 0.21 9.32
"Artichaut, fond, surgelé, cru" légumes "légumes crus" NA 50.39693529971157 84.7 2.08 8.09 0.43 1.89 7.54 NA 0 NA NA NA NA NA NA NA NA NA NA
"Maïs doux, surgelé, cru" légumes "légumes crus" NA 105.19022192776045 71.8 3.28 19.8 0.78 3.78 2.8 NA 0 NA 4 0.051 0.68 32 0.16 87 294 0.7 7.2
"Navet, surgelé, cru" légumes "légumes crus" NA 18.122574273697452 95.7 0.82 2 0.18 1.9 1.85 NA 0 NA 23 0.045 0.7 10 0.071 20 137 0.14 4.4
"Oignon, surgelé, cru" légumes "légumes crus" NA 31.638435579391935 91.1 1 5.39 0.12 4.59 2.65 NA 0 NA 26.5 0.035 0.4 8.5 0.1 22.5 133 0.095 5.65
