nom groupe ssgroupe Energie Eau Proteines Glucides Lipides Sucres Fibres Calcium Cuivre Fer Magnesium Manganese Phosphore Potassium Zinc VitamineC
"Piment, cru" légumes "légumes crus" NA 87.9 1.87 7.7 0.32 5.3 1.65 14 0.15 1.12 24 0.21 55.3 331 0.28 155
"Champignon, oronge vraie, crue" légumes "légumes crus" 23.2 92.9 2 2.45 0.3 1 1.7 17 NA 1.1 NA NA 89 320 0.4 3
"Champignon, cèpe, cru" légumes "légumes crus" 31.6 90.3 3.13 3.03 0.43 1.7 1.93 23 0.23 1 12 0.17 129 361 0.4 3
"Champignon, rosé des prés, cru" légumes "légumes crus" 25.3 92.1 2.3 2.45 0.4 1 1.7 10 NA 1.2 NA NA 102 320 0.4 4
"Chicorée rouge, crue" légumes "légumes crus" NA 94 1.4 1.6 0.1 1.6 3 36 NA 0.3 NA NA 30 180 0.2 10
"Chicorée verte, crue" légumes "légumes crus" NA 91.2 1.9 0.5 0.5 0.5 1 82.5 0.06 4.15 17 0.3 45 498 0.32 46
"Citrouille, pulpe, crue" légumes "légumes crus" NA 91.6 1 6 0.1 2.76 0.5 21 0.13 0.8 12 0.13 44 340 0.32 9
"Chou chinois ou pak-choi ou pé-tsai, cru" légumes "légumes crus" NA 95.2 1.38 1.65 0.2 1.18 1.05 86.4 0.021 0.68 17.5 0.17 37.8 249 0.17 40.3
"Poivron jaune, cru" légumes "légumes crus" 30.7 91.9 0.94 4.73 0.3 4.3 1.2 8.6 0.07 0.21 12 0.11 23 220 0.23 121
"Laitue romaine, crue" légumes "légumes crus" NA 94.6 1.24 1.2 0.3 1.19 2.1 33 0.048 0.97 14 0.16 30 247 0.23 14
"Pois mange-tout ou pois gourmand, cru" légumes "légumes crus" NA 88.3 3.08 6.2 0.27 4 2.63 40.7 0.079 2.08 24 0.24 56.8 200 0.27 60
"Panais, cru" légumes "légumes crus" 58.3 80.6 1.54 10.1 0.4 4.8 4.7 45.5 0.13 0.7 29.5 0.48 82.5 505 0.72 11.5
"Bambou, pousse, crue" légumes "légumes crus" 35.1 89.8 2.52 5.08 0.2 3 1.45 15.5 0.19 0.4 3 0.26 54.5 517 1.1 7.5
"Cresson alénois, cru" légumes "légumes crus" NA 91.1 2.55 2.2 0.6 2.2 1.35 75.5 0.13 1.8 41 0.55 76 368 0.35 52
"Laitue iceberg, crue" légumes "légumes crus" NA 95.6 1.01 2.45 0.18 1.48 1.15 17.4 0.029 0.43 8.73 0.19 23.6 179 0.21 4.72
"Rutabaga, cru" légumes "légumes crus" NA 89.5 1.17 5.7 0.13 4.46 2.6 45.2 0.031 0.35 17 0.14 47.8 349 0.21 33
"Haricot beurre, surgelé, cru" légumes "légumes crus" NA 89.9 2 4.9 0.17 2.5 2.33 51 0.049 0.78 22 0.39 32 186 0.26 16
